content,date,title,url
    近日，教育部办公厅公布了2023年通过普通高等学校师范类专业认证的专业名单（教师厅函〔2023〕24号），经学校申请、自评自建、市教委指导、市教育评估院组织专家进校考查和教育部普通高等学校师范类专业认证专家委员会审定，我校英语专业高质量通过教育部师范类专业第二级认证。,10月18日,我校英语专业通过教育部师范类专业国家认证,https://www.cqwu.edu.cn/article_360197.html
    9月27日下午14：00-18:10，中国共产党重庆文理学院第四次代表大会举行各代表团会议，审议“两委”工作报告，审议党费收缴、使用和管理情况草案，酝酿第四届党委委员、纪委委员候选人预选建议名单，讨论“两委”工作报告决议（草案）和大会选举办法（草案）等。,9月27日,文理教师荣获国家级教师教学创新大赛金奖,https://www.cqwu.edu.cn/article_358762.html
    9月22日，学校在恪勤楼612会议室组织召开科技创新中心入驻工作会，校长黄伟九，副校长王明华、陈中祝，学校党政办公室、科研处、国有资产管理处、基建处、信息化办公室、党委保卫部、后勤管理处以及各用户单位负责人参加会议，会议由王明华主持。,9月23日,学校召开科技创新中心入驻工作会,https://www.cqwu.edu.cn/article_358522.html
近日，第11届未来设计师·全国高校数字艺术设计大赛全国总决赛评审结果公布，我校美术与设计学院环境设计系黄艺教授领衔的设计创作《院士书屋 文化振兴》获得教师组一等奖（人居环境规划与设计类），该奖项是参赛的重庆高校唯一一个国赛教师组一等奖。,9月20日,文理教师喜获第11届未来设计师全国高校数字艺术设计大赛一等奖,https://www.cqwu.edu.cn/article_358845.html
    近日，由教育部高等学校材料类专业教学指导委员会主办、郑州大学承办的“徕卡杯”第十二届全国大学生金相技能大赛在郑州举行。我校材料科学与工程学院学子在本届大赛中获得一等奖1名、二等奖1名、三等奖4名的好成绩。,9月12日,文理学子在第十二届全国大学生金相技能大赛决赛中获佳绩,https://www.cqwu.edu.cn/article_357699.html
    9月6日上午，学校党委书记蔡家林、校长黄伟九，副校长金盛、李天福带领党政办公室、学生处、安全管理处、基建处、后勤管理处、星湖教育实践中心等部门负责人深入红河校区和星湖校区开展开学准备工作检查。,9月6日,校领导带队检查2023年秋季学期开学准备工作,https://www.cqwu.edu.cn/article_357380.html
    近日，第十八届全国大学生智能汽车竞赛航天智慧物流总决赛暨第四届“航天杯”移动机器人AI创新技术挑战赛在重庆落下帷幕。本次比赛由中国自动化学会、全国大学生智能汽车竞赛组委会指导，中国航天科工三院、重庆第二师范学院主办。来自全国130所高校的178支学生参赛队伍参加了比赛，经过线上选拔、南北分区赛，最终76支队伍进入全国总决赛。我校智能制造工程学院智能网联汽车实验室郑讯佳副教授、陈星教授指导的2支学生参赛团队分别荣获全国总决赛一等奖和线下选拔赛三等奖。,8月28日,文理学子获第十八届全国大学生智能汽车竞赛(航天智慧物流创意组)一等奖,https://www.cqwu.edu.cn/article_357145.html
    8月10-14日，第17届大学生射击锦标赛在云南玉溪举行，来自清华大学、复旦大学、四川大学等高校的14支代表队100余名大学生运动员角逐射击赛场。我校学生邓睿冬经过激烈比拼，最终取得第三名好成绩。,8月20日,文理学子在第17届全国大学生射击锦标赛中获得第三名好成绩,https://www.cqwu.edu.cn/article_356979.html
    8月1日上午，校长黄伟九来到学校2023年高考招生录取场、新材料技术研究院、红河A区篮球馆改造工程现场、红河AB区地下通道改造工程工地看望慰问暑期坚守工作一线的师生员工。,8月1日,校长黄伟九等校领导看望慰问暑期坚守一线的师生员工,https://www.cqwu.edu.cn/article_356562.html
7月20日下午，重庆文理学院学习贯彻习近平新时代中国特色社会主义思想主题教育暨7月党委理论学习中心组学习会在恪勤楼504会议室举行。党委书记蔡家林主持会议，全体在家校领导、党委常委参加学习。,7月20日,重庆文理学院举行学习贯彻习近平新时代中国特色社会主义思想主题教育暨7月党委理论学习中心组学习会,https://www.cqwu.edu.cn/article_356406.html
    近日，学校组织开展了为期3天的2023年暑期干部培训，全校处级干部、科级干部，共计270余人参加培训。,7月14日,学校举行2023年暑期干部培训,https://www.cqwu.edu.cn/article_355772.html
    7月6日上午，恪勤楼422会议室气氛庄严热烈。在全党深入开展学习贯彻习近平新时代中国特色社会主义思想主题教育之际，学校隆重举行庆祝中国共产党成立102周年暨“两优一先”表彰座谈会，党委书记蔡家林，党委副书记、校长黄伟九，党委职能部门负责人及受表彰的先进集体和优秀个人代表30余名同志参加会议。座谈会由黄伟九主持。,7月7日,学校召开庆祝中国共产党成立102周年暨“两优一先”表彰座谈会,https://www.cqwu.edu.cn/article_355506.html
    6月30日，由重庆市社会心理学会主办，大学生心理咨询与团体辅导专委会承办的“奋进‘心’征程 青春向未来”第十四届大学生心理成长论坛总结颁奖会在西南大学圆满结束。我校学子荣获学会一等奖3项，二等奖5项，三等奖2项。,7月5日,文理学子在重庆市第十四届大学生心理成长论坛比赛中获佳绩,https://www.cqwu.edu.cn/article_355368.html
    6月26日，重庆市教育考试院自考处处长李永成、副处长高博一行来我校调研和指导高等教育自学考试学分认定与转换工作，并在我校召开重庆市高等教育自学考试工作调研座谈会。,6月28日,重庆市教育考试院来校调研和指导工作,https://www.cqwu.edu.cn/article_354938.html
    6月23-25日，由我校文化与传媒学院和全球修辞学会联合主办的“新时代公文传播与社会治理文明”学术论坛在重庆市永川区世纪汉腾酒店举行，来自北京大学、西南大学、电子科技大学等近20所高校60余名专家学者参加，我校副校长李天福、党委宣传部、文化与传媒学院相关负责人等参与论坛。,6月25日,重庆文理学院与全球修辞学会联合举办“新时代公文传播与社会治理文明”学术论坛,https://www.cqwu.edu.cn/article_354461.html
    6月16日上午9:00，重庆文理学院2023届学生毕业典礼暨学位授予仪式在红河校区体育馆隆重举行，学校党委副书记、校长黄伟九，副校长金盛、陈中祝，组织部部长周洪亮，校友代表刘义全、姚茂瑜、张锡昌、李建军、黄仁权，学校高层次人才代表赵立军、隋媛、唐宁、贺小龙、屈川华，学校学位委员会委员，职能部门负责人、二级学院党政负责人，教师代表、辅导员代表，2023届毕业生代表，后勤服务人员代表参加了毕业典礼。典礼由副校长漆新贵主持。,6月16日,重庆文理学院隆重举行2023届学生毕业典礼暨学位授予仪式,https://www.cqwu.edu.cn/article_353879.html
    6月12日，重庆文理学院研发的国家抗癌一类新药PZ-1片转化签约活动在永川区签约中心举行。重庆市委主题教育第十八巡回指导组组长何平、副组长陈劲，重庆市教委二级巡视员谯建，重庆市科技局二级巡视员杨军，重庆市药监局党组书记、局长陈忠于，重庆分享道桐企业管理有限公司董事长刘琦、总经理岳凌，永川区委书记张智奎、区长常晓勇，重庆文理学院党委书记蔡家林、校长黄伟九、副校长陈中祝等嘉宾出席签约仪式，签约仪式由副校长王明华主持。,6月12日,4800万！重庆文理学院科技成果抗癌新药PZ-1转化签约,https://www.cqwu.edu.cn/article_353596.html
